station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
BDL,12/1/2018 8:10,-72.6825,41.9381,,,,0,0,,30.2,,8,,CLR,,,,,,,,,,,,,,,,KBDL 011310Z AUTO 00000KT 8SM CLR M01/M02 A3020 RMK T10101020 MADISHF
BDL,12/1/2018 8:15,-72.6825,41.9381,,,,0,0,,30.2,,8,,CLR,,,,,,,,,,,,,,,,KBDL 011315Z AUTO 00000KT 8SM CLR M01/M02 A3020 RMK T10101020 MADISHF
BDL,12/1/2018 8:20,-72.6825,41.9381,,,,0,0,,30.21,,8,,CLR,,,,,,,,,,,,,,,,KBDL 011320Z AUTO 00000KT 8SM CLR M01/M02 A3020 RMK T10101020 MADISHF
BDL,12/1/2018 8:25,-72.6825,41.9381,,,,0,0,,30.21,,8,,CLR,,,,,,,,,,,,,,,,KBDL 011325Z AUTO 00000KT 8SM CLR M01/M02 A3020 RMK T10101020 MADISHF
BDL,12/1/2018 8:30,-72.6825,41.9381,,,,0,0,,30.21,,8,,CLR,,,,,,,,,,,,,,,,KBDL 011330Z AUTO 00000KT 8SM CLR M01/M02 A3020 RMK T10101020 MADISHF
BDL,12/1/2018 8:35,-72.6825,41.9381,,,,260,3,,30.21,,9,,CLR,,,,,,,,,,,,,,,,KBDL 011335Z AUTO 26003KT 9SM CLR 00/M02 A3020 RMK T00001020 MADISHF
BDL,12/1/2018 8:40,-72.6825,41.9381,,,,0,0,,30.21,,10,,CLR,,,,,,,,,,,,,,,,KBDL 011340Z AUTO 00000KT 10SM CLR M01/M02 A3020 RMK T10101020 MADISHF
BDL,12/1/2018 8:45,-72.6825,41.9381,,,,0,0,,30.21,,10,,CLR,,,,,,,,,,,,,,,,KBDL 011345Z AUTO 00000KT 10SM CLR M01/M02 A3020 RMK T10101020 MADISHF
BDL,12/1/2018 8:50,-72.6825,41.9381,,,,0,0,,30.21,,10,,,,,,,,,,,,,,,,,,KBDL 011350Z AUTO 00000KT 10SM 00/M01 A3020 RMK T00001010 MADISHF
BDL,12/1/2018 8:51,-72.6825,41.9381,32,30,92.22,0,0,0,30.21,1023.2,10,,FEW,,,,25000,,,,,,,,,,,32,KBDL 011351Z 00000KT 10SM FEW250 00/M01 A3021 RMK AO2 SLP232 T00001011
BDL,12/1/2018 8:55,-72.6825,41.9381,,,,0,0,,30.21,,10,,CLR,,,,,,,,,,,,,,,,KBDL 011355Z AUTO 00000KT 10SM CLR 01/M01 A3020 RMK T00101010 MADISHF
